Datasheet,Image,DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty, Package,Series,Product Status,"Type","Frequency","Frequency Stability","Frequency Tolerance","Load Capacitance","ESR (Equivalent Series Resistance)","Operating Mode","Operating Temperature","Ratings","Mounting Type","Package / Case","Size / Dimension","Height - Seated (Max)","Supplier Device Package","URL"
"https://abracon.com/Resonators/ABLS.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/6845/535%7EHCUSSMD-4.2-11.4X4.7%7E%7E2.jpg","535-14871-2-ND","ABLS-12.000MHZ-30-A-4-H-T","Abracon LLC","Abracon LLC","CRYSTAL 12.0000MHZ 30PF SMD","0","0.1396","0","1000","Tape & Reel (TR)","ABLS","Active","MHz Crystal","12 MHz","±35ppm","±30ppm","30pF","50 Ohms","Fundamental","-10°C ~ 60°C","-","Surface Mount","HC-49/US","0.449"" L x 0.185"" W (11.40mm x 4.70mm)","0.165"" (4.20mm)","HC-49/US","https://www.digikey.be/en/products/detail/abracon-llc/ABLS-12-000MHZ-30-A-4-H-T/9997779"
"//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/7432/JQG_DB_Q-J32SMX_250618_online.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/7197/MFG_J32SMX.jpg","1908-J32SMX-K-F-D-C-12M0TR-ND,1908-J32SMX-K-F-D-C-12M0CT-ND,1908-J32SMX-K-F-D-C-12M0DKR-ND","J32SMX-K-F-D-C-12M0","Jauch Quartz","Jauch Quartz","CRYSTAL 12,0MHZ 8PF SMD","3.000","0.14","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","J32SMX","Active","MHz Crystal","12 MHz","±20ppm","±10ppm","8pF","100 Ohms","Fundamental","-20°C ~ 70°C","-","Surface Mount","4-SMD, No Lead","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","0.031"" (0.80mm)","4-SMD (3.2x2.5)","https://www.digikey.be/en/products/detail/jauch-quartz/J32SMX-K-F-D-C-12M0/27564704"
"//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/7432/JQG_DB_Q-J32SMX_250618_online.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/7197/MFG_J32SMX.jpg","1908-J32SMX-H-F-D-C-12M0TR-ND,1908-J32SMX-H-F-D-C-12M0CT-ND,1908-J32SMX-H-F-D-C-12M0DKR-ND","J32SMX-H-F-D-C-12M0","Jauch Quartz","Jauch Quartz","CRYSTAL 12,0MHZ 10PF SMD","3.000","0.14","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","J32SMX","Active","MHz Crystal","12 MHz","±20ppm","±10ppm","10pF","100 Ohms","Fundamental","-20°C ~ 70°C","-","Surface Mount","4-SMD, No Lead","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","0.031"" (0.80mm)","4-SMD (3.2x2.5)","https://www.digikey.be/en/products/detail/jauch-quartz/J32SMX-H-F-D-C-12M0/27564729"
"//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/7432/JQG_DB_Q-J32SMX_250618_online.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/7197/MFG_J32SMX.jpg","1908-J32SMX-A-F-D-C-12M0TR-ND,1908-J32SMX-A-F-D-C-12M0CT-ND,1908-J32SMX-A-F-D-C-12M0DKR-ND","J32SMX-A-F-D-C-12M0","Jauch Quartz","Jauch Quartz","CRYSTAL 12,0MHZ 12PF SMD","2.996","0.14","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","J32SMX","Active","MHz Crystal","12 MHz","±20ppm","±10ppm","12pF","100 Ohms","Fundamental","-20°C ~ 70°C","-","Surface Mount","4-SMD, No Lead","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","0.031"" (0.80mm)","4-SMD (3.2x2.5)","https://www.digikey.be/en/products/detail/jauch-quartz/J32SMX-A-F-D-C-12M0/27564641"
"//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/7432/JQG_DB_Q-J32SMX_250618_online.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/7197/MFG_J32SMX.jpg","1908-J32SMX-H-F-D-I-12M0TR-ND,1908-J32SMX-H-F-D-I-12M0CT-ND,1908-J32SMX-H-F-D-I-12M0DKR-ND","J32SMX-H-F-D-I-12M0","Jauch Quartz","Jauch Quartz","CRYSTAL 12,0MHZ 10PF SMD","2.980","0.14","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","J32SMX","Active","MHz Crystal","12 MHz","±20ppm","±10ppm","10pF","100 Ohms","Fundamental","-40°C ~ 85°C","-","Surface Mount","4-SMD, No Lead","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","0.031"" (0.80mm)","4-SMD (3.2x2.5)","https://www.digikey.be/en/products/detail/jauch-quartz/J32SMX-H-F-D-I-12M0/27564610"
"//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/7432/JQG_DB_Q-J32SMX_250618_online.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/7197/MFG_J32SMX.jpg","1908-J32SMX-A-F-E-C-12M0TR-ND,1908-J32SMX-A-F-E-C-12M0CT-ND,1908-J32SMX-A-F-E-C-12M0DKR-ND","J32SMX-A-F-E-C-12M0","Jauch Quartz","Jauch Quartz","CRYSTAL 12,0MHZ 12PF SMD","2.977","0.14","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","J32SMX","Active","MHz Crystal","12 MHz","±15ppm","±10ppm","12pF","100 Ohms","Fundamental","-20°C ~ 70°C","-","Surface Mount","4-SMD, No Lead","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","0.031"" (0.80mm)","4-SMD (3.2x2.5)","https://www.digikey.be/en/products/detail/jauch-quartz/J32SMX-A-F-E-C-12M0/27564663"
"//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/7432/JQG_DB_Q-J32SMX_250618_online.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/7197/MFG_J32SMX.jpg","1908-J32SMX-K-F-D-I-12M0TR-ND,1908-J32SMX-K-F-D-I-12M0CT-ND,1908-J32SMX-K-F-D-I-12M0DKR-ND","J32SMX-K-F-D-I-12M0","Jauch Quartz","Jauch Quartz","CRYSTAL 12,0MHZ 8PF SMD","2.975","0.14","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","J32SMX","Active","MHz Crystal","12 MHz","±20ppm","±10ppm","8pF","100 Ohms","Fundamental","-40°C ~ 85°C","-","Surface Mount","4-SMD, No Lead","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","0.031"" (0.80mm)","4-SMD (3.2x2.5)","https://www.digikey.be/en/products/detail/jauch-quartz/J32SMX-K-F-D-I-12M0/27564674"
"//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/7432/JQG_DB_Q-J32SMX_250618_online.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/7197/MFG_J32SMX.jpg","1908-J32SMX-A-F-D-I-12M0TR-ND,1908-J32SMX-A-F-D-I-12M0CT-ND,1908-J32SMX-A-F-D-I-12M0DKR-ND","J32SMX-A-F-D-I-12M0","Jauch Quartz","Jauch Quartz","CRYSTAL 12,0MHZ 12PF SMD","2.975","0.14","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","J32SMX","Active","MHz Crystal","12 MHz","±20ppm","±10ppm","12pF","100 Ohms","Fundamental","-40°C ~ 85°C","-","Surface Mount","4-SMD, No Lead","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","0.031"" (0.80mm)","4-SMD (3.2x2.5)","https://www.digikey.be/en/products/detail/jauch-quartz/J32SMX-A-F-D-I-12M0/27564719"
"//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/7432/JQG_DB_Q-J32SMX_250618_online.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/7197/MFG_J32SMX.jpg","1908-J32SMX-H-F-E-C-12M0TR-ND,1908-J32SMX-H-F-E-C-12M0CT-ND,1908-J32SMX-H-F-E-C-12M0DKR-ND","J32SMX-H-F-E-C-12M0","Jauch Quartz","Jauch Quartz","CRYSTAL 12,0MHZ 10PF SMD","2.956","0.14","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","J32SMX","Active","MHz Crystal","12 MHz","±15ppm","±10ppm","10pF","100 Ohms","Fundamental","-20°C ~ 70°C","-","Surface Mount","4-SMD, No Lead","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","0.031"" (0.80mm)","4-SMD (3.2x2.5)","https://www.digikey.be/en/products/detail/jauch-quartz/J32SMX-H-F-E-C-12M0/27564923"
"//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/7432/JQG_DB_Q-J32SMX_250618_online.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/7197/MFG_J32SMX.jpg","1908-J32SMX-K-F-E-C-12M0TR-ND,1908-J32SMX-K-F-E-C-12M0CT-ND,1908-J32SMX-K-F-E-C-12M0DKR-ND","J32SMX-K-F-E-C-12M0","Jauch Quartz","Jauch Quartz","CRYSTAL 12,0MHZ 8PF SMD","0","0.14","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","J32SMX","Active","MHz Crystal","12 MHz","±15ppm","±10ppm","8pF","100 Ohms","Fundamental","-20°C ~ 70°C","-","Surface Mount","4-SMD, No Lead","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","0.031"" (0.80mm)","4-SMD (3.2x2.5)","https://www.digikey.be/en/products/detail/jauch-quartz/J32SMX-K-F-E-C-12M0/27564900"
"https://www.raltron.com/webproducts/specs/CRYSTAL/AS-12.000-18-SMD-TR.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/210/MFG_AS-SMD.jpg","2151-AS-12.000-18-SMD-TR-ND,2151-AS-12.000-18-SMD-TRCT-ND,2151-AS-12.000-18-SMD-TRDKR-ND","AS-12.000-18-SMD-TR","Raltron Electronics","Raltron Electronics","CRYSTAL 12.0000MHZ 18PF SMD","0","0.14","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","AS-SMD","Active","MHz Crystal","12 MHz","±50ppm","±30ppm","18pF","70 Ohms","Fundamental","-20°C ~ 70°C","-","Surface Mount","HC-49/US","0.472"" L x 0.189"" W (12.00mm x 4.80mm)","0.157"" (4.00mm)","-","https://www.digikey.be/en/products/detail/raltron-electronics/AS-12-000-18-SMD-TR/10271753"
"https://abracon.com/Resonators/ABLS.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/6845/535%7EHCUSSMD-4.2-11.4X4.7%7E%7E2.jpg","535-14868-2-ND","ABLS-12.000MHZ-16-A-4-H-T","Abracon LLC","Abracon LLC","CRYSTAL 12.0000MHZ 16PF SMD","0","0.14062","0","1000","Tape & Reel (TR)","ABLS","Active","MHz Crystal","12 MHz","±35ppm","±30ppm","16pF","50 Ohms","Fundamental","-10°C ~ 60°C","-","Surface Mount","HC-49/US","0.449"" L x 0.185"" W (11.40mm x 4.70mm)","0.165"" (4.20mm)","HC-49/US","https://www.digikey.be/en/products/detail/abracon-llc/ABLS-12-000MHZ-16-A-4-H-T/9997776"
"//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/7432/JQG_DB_Q-J32SMX_250618_online.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/7197/MFG_J32SMX.jpg","1908-J32SMX-A-F-G-I-12M0TR-ND,1908-J32SMX-A-F-G-I-12M0CT-ND,1908-J32SMX-A-F-G-I-12M0DKR-ND","J32SMX-A-F-G-I-12M0","Jauch Quartz","Jauch Quartz","CRYSTAL 12,0MHZ 12PF SMD","3.000","0.15","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","J32SMX","Active","MHz Crystal","12 MHz","±30ppm","±10ppm","12pF","100 Ohms","Fundamental","-40°C ~ 85°C","-","Surface Mount","4-SMD, No Lead","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","0.031"" (0.80mm)","4-SMD (3.2x2.5)","https://www.digikey.be/en/products/detail/jauch-quartz/J32SMX-A-F-G-I-12M0/27564633"
"//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/7432/JQG_DB_Q-J32SMX_250618_online.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/7197/MFG_J32SMX.jpg","1908-J32SMX-H-F-G-I-12M0TR-ND,1908-J32SMX-H-F-G-I-12M0CT-ND,1908-J32SMX-H-F-G-I-12M0DKR-ND","J32SMX-H-F-G-I-12M0","Jauch Quartz","Jauch Quartz","CRYSTAL 12,0MHZ 10PF SMD","3.000","0.15","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","J32SMX","Active","MHz Crystal","12 MHz","±30ppm","±10ppm","10pF","100 Ohms","Fundamental","-40°C ~ 85°C","-","Surface Mount","4-SMD, No Lead","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","0.031"" (0.80mm)","4-SMD (3.2x2.5)","https://www.digikey.be/en/products/detail/jauch-quartz/J32SMX-H-F-G-I-12M0/27564635"
"//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/7432/JQG_DB_Q-J32SMX_250618_online.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/7197/MFG_J32SMX.jpg","1908-J32SMX-K-G-G-I-12M0TR-ND,1908-J32SMX-K-G-G-I-12M0CT-ND,1908-J32SMX-K-G-G-I-12M0DKR-ND","J32SMX-K-G-G-I-12M0","Jauch Quartz","Jauch Quartz","CRYSTAL 12,0MHZ 8PF SMD","3.000","0.15","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","J32SMX","Active","MHz Crystal","12 MHz","±30ppm","±30ppm","8pF","100 Ohms","Fundamental","-40°C ~ 85°C","-","Surface Mount","4-SMD, No Lead","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","0.031"" (0.80mm)","4-SMD (3.2x2.5)","https://www.digikey.be/en/products/detail/jauch-quartz/J32SMX-K-G-G-I-12M0/27564655"
"//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/7432/JQG_DB_Q-J32SMX_250618_online.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/7197/MFG_J32SMX.jpg","1908-J32SMX-A-G-G-I-12M0TR-ND,1908-J32SMX-A-G-G-I-12M0CT-ND,1908-J32SMX-A-G-G-I-12M0DKR-ND","J32SMX-A-G-G-I-12M0","Jauch Quartz","Jauch Quartz","CRYSTAL 12,0MHZ 12PF SMD","3.000","0.15","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","J32SMX","Active","MHz Crystal","12 MHz","±30ppm","±30ppm","12pF","100 Ohms","Fundamental","-40°C ~ 85°C","-","Surface Mount","4-SMD, No Lead","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","0.031"" (0.80mm)","4-SMD (3.2x2.5)","https://www.digikey.be/en/products/detail/jauch-quartz/J32SMX-A-G-G-I-12M0/27564762"
"//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/7432/JQG_DB_Q-J32SMX_250618_online.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/7197/MFG_J32SMX.jpg","1908-J32SMX-K-F-G-I-12M0TR-ND,1908-J32SMX-K-F-G-I-12M0CT-ND,1908-J32SMX-K-F-G-I-12M0DKR-ND","J32SMX-K-F-G-I-12M0","Jauch Quartz","Jauch Quartz","CRYSTAL 12,0MHZ 8PF SMD","3.000","0.15","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","J32SMX","Active","MHz Crystal","12 MHz","±30ppm","±10ppm","8pF","100 Ohms","Fundamental","-40°C ~ 85°C","-","Surface Mount","4-SMD, No Lead","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","0.031"" (0.80mm)","4-SMD (3.2x2.5)","https://www.digikey.be/en/products/detail/jauch-quartz/J32SMX-K-F-G-I-12M0/27564825"
"//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/7432/JQG_DB_Q-J32SMX_250618_online.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/7197/MFG_J32SMX.jpg","1908-J32SMX-A-G-G-C-12M0TR-ND,1908-J32SMX-A-G-G-C-12M0CT-ND,1908-J32SMX-A-G-G-C-12M0DKR-ND","J32SMX-A-G-G-C-12M0","Jauch Quartz","Jauch Quartz","CRYSTAL 12,0MHZ 12PF SMD","3.000","0.15","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","J32SMX","Active","MHz Crystal","12 MHz","±30ppm","±30ppm","12pF","100 Ohms","Fundamental","-20°C ~ 70°C","-","Surface Mount","4-SMD, No Lead","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","0.031"" (0.80mm)","4-SMD (3.2x2.5)","https://www.digikey.be/en/products/detail/jauch-quartz/J32SMX-A-G-G-C-12M0/27564842"
"//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/7432/JQG_DB_Q-J32SMX_250618_online.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/7197/MFG_J32SMX.jpg","1908-J32SMX-K-G-G-C-12M0TR-ND,1908-J32SMX-K-G-G-C-12M0CT-ND,1908-J32SMX-K-G-G-C-12M0DKR-ND","J32SMX-K-G-G-C-12M0","Jauch Quartz","Jauch Quartz","CRYSTAL 12,0MHZ 8PF SMD","3.000","0.15","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","J32SMX","Active","MHz Crystal","12 MHz","±30ppm","±30ppm","8pF","100 Ohms","Fundamental","-20°C ~ 70°C","-","Surface Mount","4-SMD, No Lead","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","0.031"" (0.80mm)","4-SMD (3.2x2.5)","https://www.digikey.be/en/products/detail/jauch-quartz/J32SMX-K-G-G-C-12M0/27564884"
"//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/7432/JQG_DB_Q-J32SMX_250618_online.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/7197/MFG_J32SMX.jpg","1908-J32SMX-H-G-G-C-12M0TR-ND,1908-J32SMX-H-G-G-C-12M0CT-ND,1908-J32SMX-H-G-G-C-12M0DKR-ND","J32SMX-H-G-G-C-12M0","Jauch Quartz","Jauch Quartz","CRYSTAL 12,0MHZ 10PF SMD","3.000","0.15","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","J32SMX","Active","MHz Crystal","12 MHz","±30ppm","±30ppm","10pF","100 Ohms","Fundamental","-20°C ~ 70°C","-","Surface Mount","4-SMD, No Lead","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","0.031"" (0.80mm)","4-SMD (3.2x2.5)","https://www.digikey.be/en/products/detail/jauch-quartz/J32SMX-H-G-G-C-12M0/27564922"
"//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/7432/JQG_DB_Q-J32SMX_250618_online.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/7197/MFG_J32SMX.jpg","1908-J32SMX-K-F-G-C-12M0TR-ND,1908-J32SMX-K-F-G-C-12M0CT-ND,1908-J32SMX-K-F-G-C-12M0DKR-ND","J32SMX-K-F-G-C-12M0","Jauch Quartz","Jauch Quartz","CRYSTAL 12,0MHZ 8PF SMD","3.000","0.15","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","J32SMX","Active","MHz Crystal","12 MHz","±30ppm","±10ppm","8pF","100 Ohms","Fundamental","-20°C ~ 70°C","-","Surface Mount","4-SMD, No Lead","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","0.031"" (0.80mm)","4-SMD (3.2x2.5)","https://www.digikey.be/en/products/detail/jauch-quartz/J32SMX-K-F-G-C-12M0/27564956"
